transaction_id,customer_id,product_id,product_name,quantity,unit_price,total_amount,transaction_date,brand,rating,customer_segment
TXN006884,10206,200009432,Pin Laptop Cho Dell Inspiron 14V 14VR Inspiron N4020 Inspiron N4030 N4030D mã pin TKV2V W4FYY X3X3X - Hàng Nhập Khẩu  MIBAT655,2,407790.0,815580.0,2025-10-20 13:53:07.226357,MISUFUJl,0.0,Occasional
TXN005837,10161,8114282,Máy Scan Canon Lide 300 - Hàng Chính Hãng,2,2685000.0,5370000.0,2025-01-19 13:53:06.879369,Canon,4.6,Regular
TXN008602,10330,274527319,"Bộ phát Wifi di động PROLiNK DL7202 dùng SIM 4G LTE 150Mbps, pin 3000mAH lên tới 12h, TFT 1.44"", hỗ trợ 185 quốc gia - Hàng chính hãng",1,1239000.0,1239000.0,2025-03-13 13:53:07.811350,Prolink,5.0,Occasional
TXN002546,10045,276062770,Điện Thoại Xiaomi Redmi 14C 4GB/128GB - Hàng Chính Hãng,3,6247500.0,18742500.0,2025-05-07 13:53:05.710352,Xiaomi,0.0,VIP
TXN008698,10338,2901371,Máy In Phun Màu Canon Pixma G1010 - Hàng Chính Hãng,2,2490000.0,4980000.0,2025-03-23 13:53:07.850354,Canon,4.5,Occasional
TXN005574,10150,134641513,USB SanDisk CZ600 - USB 3.0 - Hàng Chính Hãng,1,298500.0,298500.0,2025-10-03 13:53:06.794369,SanDisk,5.0,Regular
TXN000577,10012,275407523,Máy đọc sách Pocketbook Era Color- Hàng chính hãng,2,14975000.0,29950000.0,2025-06-27 13:53:05.027353,Pocketbook,4.0,VIP
TXN006833,10203,8886007,Sách Ngàn Mặt Trời Rực Rỡ (Tái Bản),1,90814.0,90814.0,2025-07-22 13:53:07.207351,,4.8,Occasional
TXN007112,10221,278468539,"Điện thoại Realme Note 60 (6GB/128GB) Màn hình 6.74"" ,Kháng nước IP68 ,Rom tiếng việt - Hàng nhập khẩu Nhật",2,2599000.0,5198000.0,2025-11-02 13:53:07.298355,Realme,0.0,Occasional
TXN000440,10009,275671222,"USB 2 in 1 Type C/ Type A Lexar D300 Dual Drive 32GB/ 64GB/ 128GB/ 256GB, tốc độ đọc 130MB/s - HÀNG CHÍNH HÃNG",3,497500.0,1492500.0,2025-03-12 13:53:04.977370,Lexar,0.0,VIP
TXN008618,10331,99998451,Màn hình máy tính LG UHD 4K 27'' IPS VESA DisplayHDR 400 27UP600K-W - Hàng chính hãng,3,4990000.0,14970000.0,2025-03-20 13:53:07.816360,LG,5.0,Occasional
TXN009178,10370,275191713,"Hộp mực 337 dành cho máy in Canon MF211, MF221D,  MF215, MF241D LBP151dw/ Image CLASS MF 237W/ 247DW/ 211D/ MF212W/ MF221D/ MF241D/ MF215/ MF217W/ MF226DN/ MF229DW/ MF 236N/ MF244DW/ Hàng chính hãng Alpha Cartridge",1,131000.0,131000.0,2024-12-22 13:53:08.015755,Alpha Cartridge,4.7,Occasional
